Review,Rating
Excelente celular com uma durabilidade alta da bateria,5
Bom produto 😊 exatamente como se esperar de um xiaomi.,5
"Aparelho bonito, design show. Gostei muito.",5
Eu gosto muito dessa marca,5
Gostei. Entrega na data correta,5
Bom custo beneficio.,5
Superou minhas expectativas,5
"gostei muito do produto, so que nos ultimos dias esta apresentando um defeito no audio queria saber como faço pra trocar",5
"Comprei celular p minha amiga, chegou em 3 dias pedi na quarta foi entregue no sábado, bateria dura bem dois dias, não vem fone e nem cas, mas a entrega foi conforme.",5
Excelente! Vale muito a pena!,5
Excelente smartphone superou todas minhas expectativas,5
Excelente o vendedor é super atencioso e chegou certinho,5
"Produto de ótima qualidade até o momento, tudo funcionando bem.",5
Super recomendo a loja agradeço atendimento me atenderam muito bem pois eu errei as parcelas e eles me atenderam me ajudaram e eu super recomendo a loja nota 10,5
"Muito bom,o produto chegou muito rápido, ótima qualidade.",5
Surpreendeu minhas expectativas,5
"A camêra não é tão boa quanto a do Redmi Note 9 S, por exemplo, que é 400 reais mais caro, mas para que não liga muito para isso como eu, está adequada. Quantidade de RAM, ROM e qualidade da tela okay. Por fim, o acabamento em Sky Blue é lindo e pelo que notei não é fácil de arranhar.",5
Muito bom e a entrega foi super rápida!,5
Chegou um dia antes da data mínima prevista foi super rápido o vendedor foi atencioso e o aparelho não tem nem o que falar e xiaomi e top,5
"Produto veio conforme descrição, atendeu a expectativa. Vendedor prestou todo esclarecimentos rápido e correto",5
Otimo custo-benefício,5
Muito bom!!!,5
"É um excelente celular, bateria de alta qualidade e capacidade e duração.
O prazo de entrega foi antecipado, chegou antes do dia informado.",5
Ótimo produto. Excelente qualidade.,5
Superou as espectativas,5
Qualidade da câmeras,5
"Gostei de tudo no smartphone , melhor ainda o precinho , se comparado com outros smatphone no BRASIL.",5
"Ótimo aparelho, sensacional, a única coisa é que o vendedor não mandou a nota e estou no aguardo desse documento.",5
Muito bom,5
Gostei.,5
muito bom 5000m.a de bateria...uso o celular para trabalho o dia todo e no fim do dia a bateria ainda esta 50%..otimo aparelho,5
"Your browser does not support HTML5 video.
 Esse celular é maravilhoso, a bateria tem uma ótima duração, demora bastante pra descarregar, o design é lindo, a câmera é incrível, estou amando. E o vendedor foi super atencioso me mandou um adaptador para o carregador e a entrega foi super rápida, chegou muito antes do prazo.",5
"Fo uma ótima escolha q fiz, tem ótima durabilidade a bateria, tem tudo q preciso.",5
"Um smartphone maravilhoso. Comprei pra minha esposa, de presente. Adoramos o celular. Bateria ótima, é um celular fininho e bonito, é muito legal pra fazer a migração dos dados, fotos e app do outro celular. Fiquei muito contente com o resultado da compra. Amazon, como sempre, foi super eficiente. Top.",5
"Celular muito bom, bonito, a duração da bateria top, meu filho tá gostando demais. Recomendo a compra. A encomenda chegou bem embalada, antes do prazo estipulado, tudo perfeito.",5
"Excelente aparelho, entregue dentro do prazo.",5
"Ótimo celular,e a entrega foi super rápida mandaram até um adaptador para o carregador, parabéns pela iniciativa.",5
"Produto excelente qualidade, chegou muito antes do prazo, tudo perfeito, bem embalado, recomendo ha todos",5
"Chegou muita antes do informado, gostei muito e indico. Somente o carregador que a entrada não cabe em nenhuma tomada, mas me adaptei com um T.",5
"Excelente experiência. Como foi presente, minha filha adorou! Ela tinha problemas com espaço interno devido a quantidade de aplicativos que ela instala, porém nesse modelo com 3GB de RAM e 64GB de espaço, espaço não será mais um problema.",5
Produto bom e com rápida entrega não deixou nada a desejar,5
Good,5
I love it... It's a good phone... The screen size is perfect... The camera is good for this price range...,5
I bet a Redmi series of phone doesn't need reviews. It's always the best for budget. Only pros is lagging after a while due to more bug fix updates and usage of more apps. Otherwise Redmi rockzzz,5
Super phone,5
I am happy with the service of Amazon love you Amazon and this phone is so good there is no heating issue and other problem I am enjoying this phone,5
Nice mobile,5
Good,5
Good as expected,5
Good,5
Very good,5
Good product,5
Finger and bettery good but camera clearty not well,5
Good phone,5
Great battery backup. Camera is average.,5
Amazing product,5
"Your browser does not support HTML5 video.
 Mobile is colour is so cool. I bought this mobile for my mother. She is very happy to have this mobile. Thank you Amazon. 🥰😍🤩",5
Very good product,5
"Had purchased this for a relative, who wanted a budget phone with features that can be useful for her children attending online classes. It was pretty comfortable to use and the performance is also good. If you are looking for a budget phone, this is a good option.",5
all over good,5
Good phone,5
Very good,5
V. Good,5
"it is just value for money, good looking, phone in very excellent condition. delivered on time and all the functions are ok. go for it . u will not find the phone in market on same price.
thanks amazon",5
Value For Money nice Product,5
Very good phone. Every features in the phone is satisfactory. Amazing.,5
Excellent,5
"Very good battery backup, camera quality average",5
Mobile is ok 👌,5
I'm very happy to perchesd through amazon...nice product in this price thanks to you amazon...... sign off siddu,5
👍👍👍👍,5
This is a good phone but camera quality not good,5
Very good mobile,5
Awesome,5
Low budget,5
I like it,5
Good quality,5
Good,5
Nice product,5
Nice product,5
Bought the phone for my parents. The features and the price are balanced. Good phone. Timely delivery.,5
Very nice,5
Phone / hanging prblm halka sa,5
Nice,5
Very good,5
Nice Budget Phone..,5
Supeerb,5
Gud product,5
Very good quality..,5
Very Happy,5
Camera Quality is not good,5
Nothing but phone is quite complicated,5
Awesome phone,5
